Episode,ta41,ta42,ta43,ta44,ta45,,sum
1,2730,2717,2706,2770,,,10923
2,2730,2706,2683,2749,,,10868
3,2730,2706,2600,2749,,,10785
4,2730,2706,2600,2688,,,10724
5,2697,2698,2600,2688,,,10683
6,2697,2628,2600,2688,,,10613
7,2531,2603,2524,2548,,,10206
8,2531,2603,2508,2548,,,10190
9,2531,2596,2490,2548,,,10165
10,2531,2596,2490,2548,,,10165
11,2531,2529,2438,2548,,,10046
12,2531,2529,2438,2500,,,9998
13,2531,2521,2357,2500,,,9909
14,2490,2521,2357,2500,,,9868
15,2490,2521,2357,2500,,,9868
16,2488,2508,2347,2462,,,9805
17,2488,2430,2347,2462,,,9727
18,2488,2430,2325,2462,,,9705
19,2488,2430,2324,2408,,,9650
20,2469,2430,2265,2408,,,9572
21,2428,2396,2265,2408,,,9497
22,2428,2396,2265,2408,,,9497
23,2410,2396,2265,2408,,,9479
24,2410,2396,2265,2408,,,9479
25,2386,2385,2265,2408,,,9444
26,2386,2385,2265,2408,,,9444
27,2386,2299,2265,2408,,,9358
28,2386,2299,2265,2408,,,9358
29,2386,2299,2244,2408,,,9337
30,2386,2299,2244,2408,,,9337
31,2371,2299,2237,2408,,,9315
32,2371,2299,2237,2408,,,9315
33,2348,2299,2237,2408,,,9292
34,2348,2299,2237,2408,,,9292
35,2348,2299,2237,2408,,,9292
36,2348,2299,2237,2408,,,9292
37,2348,2299,2227,2408,,,9282
38,2348,2299,2227,2408,,,9282
39,2348,2299,2227,2408,,,9282
40,2348,2289,2227,2408,,,9272
41,2348,2289,2227,2408,,,9272
42,2348,2289,2227,2408,,,9272
43,2348,2289,2227,2408,,,9272
44,2308,2289,2227,2408,,,9232
45,2308,2289,2227,2408,,,9232
46,2308,2289,2227,2408,,,9232
47,2308,2289,2227,2393,,,9217
48,2308,2289,2186,2393,,,9176
49,2308,2289,2186,2393,,,9176
50,2293,2289,2186,2393,,,9161
51,2293,2289,2186,2393,,,9161
52,2293,2280,2186,2393,,,9152
53,2293,2280,2186,2393,,,9152
54,2293,2280,2186,2393,,,9152
55,2293,2280,2186,2393,,,9152
56,2293,2280,2186,2393,,,9152
57,2293,2280,2186,2393,,,9152
58,2293,2280,2186,2393,,,9152
59,2293,2266,2186,2372,,,9117
60,2293,2266,2186,2372,,,9117
61,2279,2256,2186,2372,,,9093
62,2279,2256,2186,2372,,,9093
63,2279,2256,2186,2372,,,9093
64,2279,2245,2186,2372,,,9082
65,2279,2244,2186,2372,,,9081
66,2279,2243,2179,2372,,,9073
67,2279,2242,2173,2372,,,9066
68,2277,2237,2163,2372,,,9049
69,2277,2237,2163,2372,,,9049
70,2267,2237,2163,2372,,,9039
71,2267,2237,2155,2372,,,9031
72,2267,2225,2155,2372,,,9019
73,2265,2225,2155,2372,,,9017
74,2265,2225,2145,2372,,,9007
75,2265,2225,2145,2372,,,9007
76,2265,2225,2145,2372,,,9007
77,2265,2222,2145,2354,,,8986
78,2265,2207,2145,2354,,,8971
79,2265,2191,2145,2354,,,8955
80,2265,2191,2145,2354,,,8955
81,2265,2191,2145,2354,,,8955
82,2265,2191,2133,2354,,,8943
83,2265,2191,2126,2354,,,8936
84,2265,2191,2126,2354,,,8936
85,2265,2191,2126,2354,,,8936
86,2265,2191,2126,2354,,,8936
87,2265,2191,2126,2354,,,8936
88,2265,2189,2126,2354,,,8934
89,2265,2189,2126,2354,,,8934
90,2265,2189,2126,2354,,,8934
91,2265,2189,2126,2354,,,8934
92,2265,2189,2126,2354,,,8934
93,2265,2189,2125,2354,,,8933
94,2265,2189,2125,2354,,,8933
95,2265,2189,2125,2354,,,8933
96,2265,2189,2125,2354,,,8933
97,2265,2189,2125,2354,,,8933
98,2265,2189,2125,2354,,,8933
99,2265,2189,2125,2354,,,8933
100,2265,2189,2125,2354,,,8933
101,2265,2189,2125,2354,,,8933
102,2265,2189,2125,2354,,,8933
103,2265,2189,2125,2354,,,8933
104,2265,2189,2125,2354,,,8933
105,2265,2189,2125,2354,,,8933
106,2265,2189,2125,2354,,,8933
107,2265,2189,2125,2354,,,8933
108,2265,2189,2125,2354,,,8933
109,2265,2189,2125,2354,,,8933
110,2265,2189,2125,2354,,,8933
111,2265,2189,2125,2354,,,8933
112,2265,2189,2125,2354,,,8933
113,2265,2189,2125,2354,,,8933
114,2265,2189,2125,2354,,,8933
