Episode,ta41,ta42,ta43,ta44,ta45,ta46,ta47,ta48,ta49,ta50,sum,FIFO,MTWR
1,2730,2717,2706,2770,2790,2905,2679,2721,2637,2767,27422,25494,24487
2,2730,2706,2683,2749,2790,2905,2679,2721,2637,2744,27344,25494,24487
3,2730,2706,2600,2749,2728,2872,2673,2656,2637,2744,27095,25494,24487
4,2730,2706,2600,2688,2728,2806,2645,2656,2637,2744,26940,25494,24487
5,2697,2698,2600,2688,2676,2728,2597,2600,2536,2613,26433,25494,24487
6,2697,2628,2600,2688,2636,2633,2485,2600,2536,2613,26116,25494,24487
7,2531,2603,2524,2548,2636,2633,2485,2517,2523,2570,25570,25494,24487
8,2531,2603,2508,2548,2608,2633,2485,2501,2511,2523,25451,25494,24487
9,2531,2596,2490,2548,2592,2633,2485,2459,2462,2518,25314,25494,24487
10,2531,2596,2490,2548,2592,2537,2485,2435,2462,2518,25194,25494,24487
11,2531,2529,2438,2548,2556,2537,2485,2435,2462,2518,25039,25494,24487
12,2531,2529,2438,2500,2532,2537,2431,2435,2462,2518,24913,25494,24487
13,2531,2521,2357,2500,2495,2537,2420,2435,2462,2449,24707,25494,24487
14,2490,2521,2357,2500,2452,2537,2323,2435,2462,2429,24506,25494,24487
15,2490,2521,2357,2500,2445,2537,2323,2421,2458,2383,24435,25494,24487
16,2488,2508,2347,2462,2445,2537,2323,2400,2428,2383,24321,25494,24487
17,2488,2430,2347,2462,2445,2537,2323,2400,2428,2383,24243,25494,24487
18,2488,2430,2325,2462,2419,2534,2323,2400,2428,2383,24192,25494,24487
19,2488,2430,2324,2408,2359,2534,2323,2400,2428,2383,24077,25494,24487
20,2469,2430,2265,2408,2359,2534,2297,2400,2428,2381,23971,25494,24487
21,2428,2396,2265,2408,2359,2534,2297,2400,2391,2381,23859,25494,24487
22,2428,2396,2265,2408,2336,2534,2297,2400,2391,2379,23834,25494,24487
23,2410,2396,2265,2408,2336,2534,2297,2388,2391,2379,23804,25494,24487
24,2410,2396,2265,2408,2336,2534,2297,2320,2391,2379,23736,25494,24487
25,2386,2385,2265,2408,2336,2534,2279,2320,2372,2338,23623,25494,24487
26,2386,2385,2265,2408,2336,2534,2279,2320,2372,2338,23623,25494,24487
27,2386,2299,2265,2408,2336,2534,2279,2320,2372,2338,23537,25494,24487
28,2386,2299,2265,2408,2336,2534,2279,2320,2372,2338,23537,25494,24487
29,2386,2299,2244,2408,2336,2534,2270,2320,2326,2338,23461,25494,24487
30,2386,2299,2244,2408,2336,2534,2255,2320,2326,2338,23446,25494,24487
31,2371,2299,2237,2408,2329,2534,2255,2320,2326,2338,23417,25494,24487
32,2371,2299,2237,2408,2329,2534,2255,2320,2326,2338,23417,25494,24487
33,2348,2299,2237,2408,2329,2534,2255,2320,2326,2334,23390,25494,24487
34,2348,2299,2237,2408,2329,2516,2239,2320,2326,2286,23308,25494,24487
35,2348,2299,2237,2408,2324,2516,2239,2320,2326,2286,23303,25494,24487
36,2348,2299,2237,2408,2324,2457,2239,2320,2326,2286,23244,25494,24487
37,2348,2299,2227,2408,2324,2457,2239,2320,2326,2286,23234,25494,24487
38,2348,2299,2227,2408,2324,2457,2239,2320,2326,2286,23234,25494,24487
39,2348,2299,2227,2408,2288,2457,2239,2320,2326,2286,23198,25494,24487
40,2348,2289,2227,2408,2288,2457,2239,2320,2325,2286,23187,25494,24487
41,2348,2289,2227,2408,2288,2457,2233,2320,2325,2283,23178,25494,24487
42,2348,2289,2227,2408,2288,2457,2201,2320,2325,2283,23146,25494,24487
43,2348,2289,2227,2408,2288,2457,2201,2320,2325,2283,23146,25494,24487
44,2308,2289,2227,2408,2288,2457,2201,2320,2325,2283,23106,25494,24487
45,2308,2289,2227,2408,2288,2457,2201,2320,2292,2283,23073,25494,24487
46,2308,2289,2227,2408,2288,2457,2201,2320,2292,2283,23073,25494,24487
47,2308,2289,2227,2393,2288,2457,2201,2320,2284,2283,23050,25494,24487
48,2308,2289,2186,2393,2288,2457,2201,2320,2284,2283,23009,25494,24487
49,2308,2289,2186,2393,2288,2457,2201,2320,2284,2283,23009,25494,24487
50,2293,2289,2186,2393,2288,2457,2201,2320,2284,2283,22994,25494,24487
51,2293,2289,2186,2393,2288,2457,2201,2320,2261,2278,22966,25494,24487
52,2293,2280,2186,2393,2288,2457,2201,2320,2261,2278,22957,25494,24487
53,2293,2280,2186,2393,2288,2436,2201,2320,2258,2278,22933,25494,24487
54,2293,2280,2186,2393,2288,2436,2201,2320,2258,2278,22933,25494,24487
55,2293,2280,2186,2393,2288,2436,2201,2320,2258,2263,22918,25494,24487
56,2293,2280,2186,2393,2288,2436,2201,2320,2229,2263,22889,25494,24487
57,2293,2280,2186,2393,2288,2436,2201,2320,2229,2263,22889,25494,24487
58,2293,2280,2186,2393,2288,2436,2201,2320,2229,2263,22889,25494,24487
59,2293,2266,2186,2372,2288,2436,2201,2320,2229,2263,22854,25494,24487
60,2293,2266,2186,2372,2288,2436,2201,2320,2223,2263,22848,25494,24487
61,2279,2256,2186,2372,2288,2436,2201,2320,2223,2263,22824,25494,24487
62,2279,2256,2186,2372,2288,2436,2201,2320,2223,2263,22824,25494,24487
63,2279,2256,2186,2372,2288,2436,2201,2320,2223,2263,22824,25494,24487
64,2279,2245,2186,2372,2288,2436,2201,2320,2223,2247,22797,25494,24487
65,2279,2244,2186,2372,2288,2436,2201,2320,2204,2247,22777,25494,24487
66,2279,2243,2179,2372,2285,2436,2182,2320,2204,2247,22747,25494,24487
67,2279,2242,2173,2372,2285,2436,2182,2320,2204,2247,22740,25494,24487
68,2277,2237,2163,2372,2231,2436,2182,2320,2204,2247,22669,25494,24487
69,2277,2237,2163,2372,2231,2436,2182,2320,2204,2232,22654,25494,24487
70,2267,2237,2163,2372,2231,2436,2179,2320,2204,2232,22641,25494,24487
71,2267,2237,2155,2372,2231,2436,2179,2320,2204,2232,22633,25494,24487
72,2267,2225,2155,2372,2231,2436,2179,2320,2200,2194,22579,25494,24487
73,2265,2225,2155,2372,2231,2436,2179,2320,2185,2194,22562,25494,24487
74,2265,2225,2145,2372,2231,2436,2179,2320,2185,2194,22552,25494,24487
75,2265,2225,2145,2372,2231,2436,2160,2320,2185,2194,22533,25494,24487
76,2265,2225,2145,2372,2231,2436,2160,2320,2185,2194,22533,25494,24487
77,2265,2222,2145,2354,2231,2436,2160,2320,2185,2194,22512,25494,24487
78,2265,2207,2145,2354,2231,2434,2160,2320,2185,2194,22495,25494,24487
79,2265,2191,2145,2354,2231,2434,2160,2320,2185,2194,22479,25494,24487
80,2265,2191,2145,2354,2231,2434,2155,2320,2185,2194,22474,25494,24487
81,2265,2191,2145,2354,2231,2434,2155,2320,2185,2194,22474,25494,24487
82,2265,2191,2133,2354,2231,2434,2155,2320,2185,2194,22462,25494,24487
83,2265,2191,2126,2354,2231,2434,2155,2320,2185,2194,22455,25494,24487
84,2265,2191,2126,2354,2231,2434,2141,2320,2185,2194,22441,25494,24487
85,2265,2191,2126,2354,2231,2434,2141,2320,2185,2194,22441,25494,24487
86,2265,2191,2126,2354,2231,2434,2141,2320,2185,2194,22441,25494,24487
87,2265,2191,2126,2354,2231,2434,2141,2320,2185,2194,22441,25494,24487
88,2265,2189,2126,2354,2231,2434,2141,2320,2185,2194,22439,25494,24487
89,2265,2189,2126,2354,2231,2434,2141,2320,2185,2194,22439,25494,24487
90,2265,2189,2126,2354,2231,2434,2141,2320,2185,2194,22439,25494,24487
91,2265,2189,2126,2354,2231,2434,2141,2320,2179,2194,22433,25494,24487
92,2265,2189,2126,2354,2231,2434,2141,2320,2179,2194,22433,25494,24487
93,2265,2189,2125,2354,2231,2434,2141,2320,2179,2194,22432,25494,24487
94,2265,2189,2125,2354,2231,2434,2141,2320,2179,2194,22432,25494,24487
95,2265,2189,2125,2354,2231,2428,2141,2320,2179,2194,22426,25494,24487
96,2265,2189,2125,2354,2231,2428,2141,2320,2179,2194,22426,25494,24487
97,2265,2189,2125,2354,2231,2428,2128,2320,2179,2194,22413,25494,24487
98,2265,2189,2125,2354,2231,2428,2128,2320,2179,2194,22413,25494,24487
99,2265,2189,2125,2354,2231,2428,2128,2320,2179,2194,22413,25494,24487
100,2265,2189,2125,2354,2231,2428,2128,2320,2179,2194,22413,25494,24487
101,2265,2189,2125,2354,2231,2428,2128,2320,2179,2194,22413,25494,24487
102,2265,2189,2125,2354,2231,2428,2128,2320,2179,2194,22413,25494,24487
103,2265,2189,2125,2354,2231,2428,2128,2320,2179,2194,22413,25494,24487
104,2265,2189,2125,2354,2231,2405,2128,2320,2179,2194,22390,25494,24487
105,2265,2189,2125,2354,2231,2405,2128,2320,2179,2194,22390,25494,24487
106,2265,2189,2125,2354,2231,2405,2128,2320,2179,2194,22390,25494,24487
107,2265,2189,2125,2354,2231,2405,2128,2320,2179,2194,22390,25494,24487
108,2265,2189,2125,2354,2231,2405,2128,2320,2179,2194,22390,25494,24487
109,2265,2189,2125,2354,2231,2405,2128,2320,2179,2194,22390,25494,24487
110,2265,2189,2125,2354,2231,2405,2128,2320,2179,2194,22390,25494,24487
111,2265,2189,2125,2354,2231,2405,2128,2320,2179,2194,22390,25494,24487
112,2265,2189,2125,2354,2231,2405,2128,2320,2179,2194,22390,25494,24487
113,2265,2189,2125,2354,2231,2405,2128,2320,2179,2194,22390,25494,24487
114,2265,2189,2125,2354,2231,2405,2128,2320,2179,2194,22390,25494,24487
115,2265,2189,2119,2354,2231,2405,2128,2320,2179,2194,22384,25494,24487
116,2265,2189,2119,2354,2231,2405,2128,2320,2179,2194,22384,25494,24487
117,2265,2189,2119,2354,2231,2405,2128,2320,2179,2194,22384,25494,24487
118,2265,2189,2119,2345,2231,2405,2128,2320,2179,2194,22375,25494,24487
119,2265,2189,2119,2345,2231,2405,2128,2320,2179,2194,22375,25494,24487
120,2265,2189,2119,2345,2231,2405,2128,2320,2179,2194,22375,25494,24487
121,2265,2189,2119,2345,2231,2405,2128,2320,2179,2194,22375,25494,24487
122,2265,2189,2119,2345,2231,2405,2128,2320,2179,2194,22375,25494,24487
123,2265,2189,2119,2345,2231,2405,2128,2320,2179,2194,22375,25494,24487
124,2265,2189,2119,2345,2231,2405,2128,2320,2179,2194,22375,25494,24487
125,2265,2189,2119,2340,2231,2405,2128,2320,2179,2194,22370,25494,24487
126,2265,2189,2119,2340,2231,2383,2128,2320,2179,2194,22348,25494,24487
127,2265,2189,2119,2340,2231,2383,2128,2320,2179,2194,22348,25494,24487
128,2254,2189,2119,2340,2231,2383,2128,2320,2179,2194,22337,25494,24487
129,2254,2189,2119,2340,2231,2372,2128,2320,2179,2194,22326,25494,24487
130,2254,2189,2119,2340,2231,2372,2128,2320,2179,2194,22326,25494,24487
131,2254,2189,2119,2340,2231,2372,2128,2320,2179,2194,22326,25494,24487
132,2254,2189,2119,2340,2231,2372,2128,2320,2179,2194,22326,25494,24487
133,2254,2189,2119,2334,2231,2372,2128,2320,2179,2194,22320,25494,24487
134,2254,2189,2119,2334,2231,2372,2128,2294,2179,2194,22294,25494,24487
135,2254,2189,2119,2333,2231,2372,2128,2294,2179,2194,22293,25494,24487
136,2254,2189,2119,2327,2231,2372,2128,2294,2179,2194,22287,25494,24487
137,2254,2189,2119,2327,2231,2372,2128,2294,2179,2194,22287,25494,24487
138,2254,2189,2119,2327,2231,2372,2128,2294,2179,2194,22287,25494,24487
139,2254,2189,2119,2327,2231,2372,2128,2271,2179,2194,22264,25494,24487
140,2254,2189,2119,2327,2231,2372,2128,2271,2176,2194,22261,25494,24487
141,2254,2189,2119,2327,2231,2372,2128,2271,2176,2194,22261,25494,24487
142,2254,2189,2119,2327,2231,2372,2128,2271,2176,2194,22261,25494,24487
143,2254,2189,2119,2327,2231,2372,2128,2271,2176,2194,22261,25494,24487
144,2254,2189,2119,2327,2231,2372,2128,2271,2176,2194,22261,25494,24487
145,2254,2189,2119,2327,2231,2372,2128,2271,2176,2194,22261,25494,24487
146,2254,2189,2119,2327,2231,2372,2128,2264,2176,2194,22254,25494,24487
147,2254,2189,2119,2327,2231,2372,2128,2264,2176,2194,22254,25494,24487
148,2254,2189,2119,2327,2231,2372,2128,2264,2176,2194,22254,25494,24487
149,2254,2189,2119,2327,2231,2372,2128,2264,2176,2194,22254,25494,24487
150,2254,2189,2119,2327,2231,2372,2128,2264,2176,2194,22254,25494,24487
151,2254,2189,2119,2327,2231,2372,2128,2264,2176,2194,22254,25494,24487
152,2254,2189,2119,2327,2231,2372,2128,2264,2176,2194,22254,25494,24487
153,2254,2189,2119,2327,2231,2372,2128,2264,2176,2194,22254,25494,24487
154,2254,2189,2119,2327,2231,2372,2128,2264,2176,2194,22254,25494,24487
155,2254,2189,2119,2327,2231,2372,2128,2264,2176,2194,22254,25494,24487
156,2254,2189,2119,2327,2231,2372,2128,2264,2176,2194,22254,25494,24487
157,2254,2189,2119,2327,2231,2372,2128,2249,2176,2194,22239,25494,24487
158,2254,2189,2119,2327,2231,2372,2128,2249,2176,2194,22239,25494,24487
159,2254,2189,2119,2327,2231,2372,2128,2249,2176,2194,22239,25494,24487
160,2254,2189,2119,2327,2231,2372,2128,2249,2176,2194,22239,25494,24487
161,2254,2189,2119,2308,2231,2372,2128,2249,2176,2194,22220,25494,24487
162,2254,2189,2119,2308,2231,2372,2128,2249,2176,2194,22220,25494,24487
163,2254,2189,2119,2308,2231,2372,2128,2249,2176,2194,22220,25494,24487
164,2254,2189,2119,2308,2231,2372,2128,2249,2176,2194,22220,25494,24487
165,2254,2189,2119,2308,2231,2372,2128,2249,2176,2194,22220,25494,24487
166,2254,2189,2119,2300,2231,2372,2128,2249,2176,2194,22212,25494,24487
167,2254,2189,2119,2300,2231,2372,2128,2249,2176,2194,22212,25494,24487
168,2254,2189,2119,2300,2231,2366,2128,2249,2176,2194,22206,25494,24487
169,2254,2189,2119,2300,2231,2366,2128,2249,2176,2194,22206,25494,24487
170,2254,2189,2119,2293,2231,2366,2128,2249,2176,2194,22199,25494,24487
171,2254,2189,2119,2293,2231,2366,2128,2249,2176,2194,22199,25494,24487
172,2254,2189,2119,2279,2231,2366,2128,2249,2176,2194,22185,25494,24487
173,2254,2189,2119,2279,2231,2366,2128,2249,2176,2194,22185,25494,24487
174,2254,2189,2119,2279,2231,2366,2128,2249,2176,2194,22185,25494,24487
175,2254,2189,2119,2279,2231,2366,2128,2249,2176,2194,22185,25494,24487
176,2254,2189,2119,2279,2231,2366,2128,2249,2176,2194,22185,25494,24487
177,2254,2189,2119,2279,2231,2366,2128,2249,2176,2194,22185,25494,24487
178,2254,2189,2119,2279,2231,2366,2128,2249,2176,2194,22185,25494,24487
179,2254,2189,2119,2279,2231,2366,2128,2249,2176,2194,22185,25494,24487
180,2254,2189,2119,2279,2231,2366,2128,2249,2176,2194,22185,25494,24487
181,2254,2189,2119,2279,2231,2366,2128,2249,2176,2194,22185,25494,24487
182,2254,2189,2119,2279,2231,2364,2128,2249,2176,2194,22183,25494,24487
183,2254,2189,2119,2279,2231,2364,2128,2249,2176,2194,22183,25494,24487
184,2254,2189,2119,2279,2231,2364,2128,2249,2176,2194,22183,25494,24487
185,2254,2189,2119,2279,2231,2364,2128,2249,2176,2194,22183,25494,24487
186,2254,2189,2119,2279,2231,2364,2128,2249,2176,2194,22183,25494,24487
187,2254,2189,2119,2279,2231,2364,2128,2249,2176,2194,22183,25494,24487
188,2254,2189,2119,2279,2231,2364,2128,2249,2176,2194,22183,25494,24487
189,2254,2189,2119,2279,2231,2364,2128,2249,2176,2194,22183,25494,24487
190,2254,2189,2119,2279,2231,2364,2128,2249,2176,2194,22183,25494,24487
191,2254,2189,2119,2279,2231,2364,2128,2249,2176,2194,22183,25494,24487
