Time,ta41,ta42,ta43,ta44,ta45,ta46,ta47,ta48,ta49,ta50,sum,FIFO,MTWR,Time in Sekdunden,KI Durchscnitt,Break-even Point in Sekunden,Best Makespan herkoemllicher Algo Durchschnitt
1,2730,2717,2706,2770,2790,2905,2679,2721,2637,2767,27422,25494,24487,3,2742.2,-0.010221465076661,2448.7
2,2730,2706,2683,2749,2790,2905,2679,2721,2637,2744,27344,25494,24487,6,2734.4,-0.0210010500525026,2448.7
3,2730,2706,2600,2749,2728,2872,2673,2656,2637,2744,27095,25494,24487,9,2709.5,-0.0345092024539877,2448.7
4,2730,2706,2600,2688,2728,2806,2645,2656,2637,2744,26940,25494,24487,12,2694,-0.0489196901752955,2448.7
5,2697,2698,2600,2688,2676,2728,2597,2600,2536,2613,26433,25494,24487,15,2643.3,-0.0770811921891057,2448.7
6,2697,2628,2600,2688,2636,2633,2485,2600,2536,2613,26116,25494,24487,18,2611.6,-0.110497237569061,2448.7
7,2531,2603,2524,2548,2636,2633,2485,2517,2523,2570,25570,25494,24487,21,2557,-0.193905817174515,2448.7
8,2531,2603,2508,2548,2608,2633,2485,2501,2511,2523,25451,25494,24487,24,2545.1,-0.248962655601659,2448.7
9,2531,2596,2490,2548,2592,2633,2485,2459,2462,2518,25314,25494,24487,27,2531.4,-0.326481257557435,2448.7
10,2531,2596,2490,2548,2592,2537,2485,2435,2462,2518,25194,25494,24487,30,2519.4,-0.424328147100423,2448.7
11,2531,2529,2438,2548,2556,2537,2485,2435,2462,2518,25039,25494,24487,33,2503.9,-0.597826086956519,2448.7
12,2531,2529,2438,2500,2532,2537,2431,2435,2462,2518,24913,25494,24487,36,2491.3,-0.845070422535204,2448.7
13,2531,2521,2357,2500,2495,2537,2420,2435,2462,2449,24707,25494,24487,39,2470.7,-1.77272727272727,2448.7
14,2490,2521,2357,2500,2452,2537,2323,2435,2462,2429,24506,25494,24487,42,2450.6,-22.1052631578937,2448.7
15,2490,2521,2357,2500,2445,2537,2323,2421,2458,2383,24435,25494,24487,45,2443.5,8.65384615384646,2448.7
16,2488,2508,2347,2462,2445,2537,2323,2400,2428,2383,24321,25494,24487,48,2432.1,2.89156626506026,2448.7
17,2488,2430,2347,2462,2445,2537,2323,2400,2428,2383,24243,25494,24487,51,2424.3,2.09016393442626,2448.7
18,2488,2430,2325,2462,2419,2534,2323,2400,2428,2383,24192,25494,24487,54,2419.2,1.83050847457627,2448.7
19,2488,2430,2324,2408,2359,2534,2323,2400,2428,2383,24077,25494,24487,57,2407.7,1.39024390243902,2448.7
20,2469,2430,2265,2408,2359,2534,2297,2400,2428,2381,23971,25494,24487,60,2397.1,1.16279069767442,2448.7
21,2428,2396,2265,2408,2359,2534,2297,2400,2391,2381,23859,25494,24487,63,2385.9,1.0031847133758,2448.7
22,2428,2396,2265,2408,2336,2534,2297,2400,2391,2379,23834,25494,24487,66,2383.4,1.01071975497703,2448.7
23,2410,2396,2265,2408,2336,2534,2297,2388,2391,2379,23804,25494,24487,69,2380.4,1.01024890190337,2448.7
