Episode,ta41,ta42,ta43,ta44,ta45,,sum
1,2730,2717,2706,,,,8153
2,2730,2706,2683,,,,8119
3,2730,2706,2600,,,,8036
4,2730,2706,2600,,,,8036
5,2697,2698,2600,,,,7995
6,2697,2628,2600,,,,7925
7,2531,2603,2524,,,,7658
8,2531,2603,2508,,,,7642
9,2531,2596,2490,,,,7617
10,2531,2596,2490,,,,7617
11,2531,2529,2438,,,,7498
12,2531,2529,2438,,,,7498
13,2531,2521,2357,,,,7409
14,2490,2521,2357,,,,7368
15,2490,2521,2357,,,,7368
16,2488,2508,2347,,,,7343
17,2488,2430,2347,,,,7265
18,2488,2430,2325,,,,7243
19,2488,2430,2324,,,,7242
20,2469,2430,2265,,,,7164
21,2428,2396,2265,,,,7089
22,2428,2396,2265,,,,7089
23,2410,2396,2265,,,,7071
24,2410,2396,2265,,,,7071
25,2386,2385,2265,,,,7036
26,2386,2385,2265,,,,7036
27,2386,2299,2265,,,,6950
28,2386,2299,2265,,,,6950
29,2386,2299,2244,,,,6929
30,2386,2299,2244,,,,6929
31,2371,2299,2237,,,,6907
32,2371,2299,2237,,,,6907
33,2348,2299,2237,,,,6884
34,2348,2299,2237,,,,6884
35,2348,2299,2237,,,,6884
36,2348,2299,2237,,,,6884
37,2348,2299,2227,,,,6874
38,2348,2299,2227,,,,6874
39,2348,2299,2227,,,,6874
40,2348,2289,2227,,,,6864
41,2348,2289,2227,,,,6864
42,2348,2289,2227,,,,6864
43,2348,2289,2227,,,,6864
44,2308,2289,2227,,,,6824
45,2308,2289,2227,,,,6824
46,2308,2289,2227,,,,6824
47,2308,2289,2227,,,,6824
48,2308,2289,2186,,,,6783
49,2308,2289,2186,,,,6783
50,2293,2289,2186,,,,6768
51,2293,2289,2186,,,,6768
52,2293,2280,2186,,,,6759
53,2293,2280,2186,,,,6759
54,2293,2280,2186,,,,6759
55,2293,2280,2186,,,,6759
56,2293,2280,2186,,,,6759
57,2293,2280,2186,,,,6759
58,2293,2280,2186,,,,6759
59,2293,2266,2186,,,,6745
60,2293,2266,2186,,,,6745
61,2279,2256,2186,,,,6721
62,2279,2256,2186,,,,6721
63,2279,2256,2186,,,,6721
64,2279,2245,2186,,,,6710
65,2279,2244,2186,,,,6709
66,2279,2243,2179,,,,6701
67,2279,2242,2173,,,,6694
68,2277,2237,2163,,,,6677
69,2277,2237,2163,,,,6677
70,2267,2237,2163,,,,6667
71,2267,2237,2155,,,,6659
72,2267,2225,2155,,,,6647
73,2265,2225,2155,,,,6645
74,2265,2225,2145,,,,6635
75,2265,2225,2145,,,,6635
76,2265,2225,2145,,,,6635
77,2265,2222,2145,,,,6632
78,2265,2207,2145,,,,6617
79,2265,2191,2145,,,,6601
80,2265,2191,2145,,,,6601
81,2265,2191,2145,,,,6601
82,2265,2191,2133,,,,6589
83,2265,2191,2126,,,,6582
84,2265,2191,2126,,,,6582
85,2265,2191,2126,,,,6582
86,2265,2191,2126,,,,6582
87,2265,2191,2126,,,,6582
88,2265,2189,2126,,,,6580
89,2265,2189,2126,,,,6580
90,2265,2189,2126,,,,6580
91,2265,2189,2126,,,,6580
92,2265,2189,2126,,,,6580
93,2265,2189,2125,,,,6579
94,2265,2189,2125,,,,6579
95,2265,2189,2125,,,,6579
96,2265,2189,2125,,,,6579
97,2265,2189,2125,,,,6579
98,2265,2189,2125,,,,6579
99,2265,2189,2125,,,,6579
100,2265,2189,2125,,,,6579
101,2265,2189,2125,,,,6579
102,2265,2189,2125,,,,6579
103,2265,2189,2125,,,,6579
104,2265,2189,2125,,,,6579
105,2265,2189,2125,,,,6579
106,2265,2189,2125,,,,6579
107,2265,2189,2125,,,,6579
108,2265,2189,2125,,,,6579
109,2265,2189,2125,,,,6579
110,2265,2189,2125,,,,6579
111,2265,2189,2125,,,,6579
112,2265,2189,2125,,,,6579
113,2265,2189,2125,,,,6579
114,2265,2189,2125,,,,6579
115,2265,2189,2119,,,,6573
116,2265,2189,2119,,,,6573
117,2265,2189,2119,,,,6573
118,2265,2189,2119,,,,6573
119,2265,2189,2119,,,,6573
120,2265,2189,2119,,,,6573
121,2265,2189,2119,,,,6573
122,2265,2189,2119,,,,6573
123,2265,2189,2119,,,,6573
124,2265,2189,2119,,,,6573
125,2265,2189,2119,,,,6573
126,2265,2189,2119,,,,6573
127,2265,2189,2119,,,,6573
128,2254,2189,2119,,,,6562
129,2254,2189,2119,,,,6562
130,2254,2189,2119,,,,6562
131,2254,2189,2119,,,,6562
132,2254,2189,2119,,,,6562
133,2254,2189,2119,,,,6562
134,2254,2189,2119,,,,6562
135,2254,2189,2119,,,,6562
136,2254,2189,2119,,,,6562
137,2254,2189,2119,,,,6562
138,2254,2189,2119,,,,6562
139,2254,2189,2119,,,,6562
140,2254,2189,2119,,,,6562
141,2254,2189,2119,,,,6562
142,2254,2189,2119,,,,6562
143,2254,2189,2119,,,,6562
144,2254,2189,2119,,,,6562
145,2254,2189,2119,,,,6562
146,2254,2189,2119,,,,6562
147,2254,2189,2119,,,,6562
148,2254,2189,2119,,,,6562
149,2254,2189,2119,,,,6562
150,2254,2189,2119,,,,6562
151,2254,2189,2119,,,,6562
152,2254,2189,2119,,,,6562
153,2254,2189,2119,,,,6562
154,2254,2189,2119,,,,6562
155,2254,2189,2119,,,,6562
156,2254,2189,2119,,,,6562
157,2254,2189,2119,,,,6562
158,2254,2189,2119,,,,6562
159,2254,2189,2119,,,,6562
160,2254,2189,2119,,,,6562
161,2254,2189,2119,,,,6562
162,2254,2189,2119,,,,6562
163,2254,2189,2119,,,,6562
164,2254,2189,2119,,,,6562
165,2254,2189,2119,,,,6562
166,2254,2189,2119,,,,6562
167,2254,2189,2119,,,,6562
168,2254,2189,2119,,,,6562
169,2254,2189,2119,,,,6562
170,2254,2189,2119,,,,6562
171,2254,2189,2119,,,,6562
172,2254,2189,2119,,,,6562
173,2254,2189,2119,,,,6562
174,2254,2189,2119,,,,6562
175,2254,2189,2119,,,,6562
176,2254,2189,2119,,,,6562
177,2254,2189,2119,,,,6562
178,2254,2189,2119,,,,6562
179,2254,2189,2119,,,,6562
180,2254,2189,2119,,,,6562
181,2254,2189,2119,,,,6562
182,2254,2189,2119,,,,6562
183,2254,2189,2119,,,,6562
184,2254,2189,2119,,,,6562
185,2254,2189,2119,,,,6562
186,2254,2189,2119,,,,6562
187,2254,2189,2119,,,,6562
188,2254,2189,2119,,,,6562
189,2254,2189,2119,,,,6562
190,2254,2189,2119,,,,6562
191,2254,2189,2119,,,,6562
192,2254,2189,2119,,,,6562
193,2254,2189,2119,,,,6562
194,2254,2189,2119,,,,6562
195,2254,2189,2119,,,,6562
196,2254,2189,2119,,,,6562
197,2254,2189,2119,,,,6562
198,2254,2189,2119,,,,6562
199,2254,2189,2119,,,,6562
200,2254,2189,2119,,,,6562
