Episode,ta41,ta42,ta43,ta44,ta45,,sum
1,2515,2531,2533,,,,7579
2,2515,2531,2500,,,,7546
3,2515,2531,2441,,,,7487
4,2515,2531,2441,,,,7487
5,2515,2508,2420,,,,7443
6,2515,2441,2420,,,,7376
7,2512,2441,2390,,,,7343
8,2512,2441,2373,,,,7326
9,2512,2441,2355,,,,7308
10,2512,2441,2355,,,,7308
11,2512,2441,2355,,,,7308
12,2464,2441,2355,,,,7260
13,2464,2441,2355,,,,7260
14,2464,2441,2355,,,,7260
15,2423,2441,2355,,,,7219
16,2423,2441,2355,,,,7219
17,2423,2441,2355,,,,7219
18,2423,2432,2322,,,,7177
19,2423,2432,2314,,,,7169
20,2423,2432,2314,,,,7169
21,2423,2432,2314,,,,7169
22,2423,2432,2314,,,,7169
23,2423,2432,2314,,,,7169
24,2423,2403,2314,,,,7140
25,2420,2403,2314,,,,7137
26,2419,2403,2314,,,,7136
27,2419,2403,2314,,,,7136
28,2419,2403,2314,,,,7136
29,2419,2403,2314,,,,7136
30,2419,2403,2301,,,,7123
31,2419,2403,2301,,,,7123
32,2419,2403,2301,,,,7123
33,2394,2403,2301,,,,7098
34,2385,2403,2301,,,,7089
35,2385,2403,2301,,,,7089
36,2385,2403,2301,,,,7089
37,2354,2403,2301,,,,7058
38,2354,2403,2301,,,,7058
39,2354,2403,2301,,,,7058
40,2354,2403,2301,,,,7058
41,2342,2403,2301,,,,7046
42,2342,2403,2301,,,,7046
43,2339,2403,2301,,,,7043
44,2339,2403,2301,,,,7043
45,2339,2390,2301,,,,7030
46,2339,2390,2301,,,,7030
47,2339,2390,2301,,,,7030
48,2336,2390,2301,,,,7027
49,2336,2390,2301,,,,7027
50,2336,2375,2301,,,,7012
51,2336,2375,2300,,,,7011
52,2336,2375,2300,,,,7011
53,2336,2368,2300,,,,7004
54,2336,2368,2300,,,,7004
55,2336,2346,2300,,,,6982
56,2336,2346,2300,,,,6982
57,2336,2346,2300,,,,6982
58,2336,2346,2300,,,,6982
59,2336,2346,2300,,,,6982
60,2336,2346,2300,,,,6982
61,2336,2346,2300,,,,6982
62,2336,2346,2292,,,,6974
63,2336,2346,2292,,,,6974
64,2336,2346,2292,,,,6974
65,2336,2346,2292,,,,6974
66,2336,2346,2292,,,,6974
67,2336,2346,2286,,,,6968
68,2336,2346,2286,,,,6968
69,2336,2346,2286,,,,6968
70,2336,2346,2286,,,,6968
71,2336,2346,2286,,,,6968
72,2336,2346,2286,,,,6968
73,2336,2346,2286,,,,6968
74,2336,2346,2286,,,,6968
75,2336,2346,2286,,,,6968
76,2336,2346,2286,,,,6968
77,2336,2346,2286,,,,6968
78,2336,2346,2286,,,,6968
79,2336,2346,2286,,,,6968
80,2336,2346,2286,,,,6968
81,2336,2346,2286,,,,6968
82,2336,2346,2286,,,,6968
83,2336,2346,2286,,,,6968
84,2336,2346,2286,,,,6968
85,2336,2346,2286,,,,6968
86,2336,2346,2286,,,,6968
87,2336,2346,2286,,,,6968
88,2336,2346,2286,,,,6968
89,2336,2346,2286,,,,6968
90,2336,2346,2286,,,,6968
91,2336,2346,2286,,,,6968
92,2336,2346,2286,,,,6968
93,2336,2346,2286,,,,6968
94,2336,2346,2286,,,,6968
95,2336,2346,2286,,,,6968
96,2336,2346,2286,,,,6968
97,2336,2346,2286,,,,6968
98,2336,2346,2286,,,,6968
99,2336,2346,2286,,,,6968
100,2336,2346,2286,,,,6968
101,2336,2346,2286,,,,6968
102,2336,2346,2286,,,,6968
103,2336,2346,2286,,,,6968
104,2336,2346,2286,,,,6968
105,2336,2346,2286,,,,6968
106,2336,2346,2286,,,,6968
107,2336,2346,2286,,,,6968
108,2336,2346,2286,,,,6968
109,2336,2346,2286,,,,6968
110,2336,2346,2286,,,,6968
111,2336,2346,2286,,,,6968
112,2336,2346,2286,,,,6968
113,2336,2346,2286,,,,6968
114,2336,2346,2286,,,,6968
115,2336,2346,2286,,,,6968
116,2336,2346,2286,,,,6968
117,2336,2346,2286,,,,6968
118,2336,2346,2286,,,,6968
119,2336,2346,2286,,,,6968
120,2336,2346,2286,,,,6968
121,2336,2346,2286,,,,6968
122,2336,2346,2286,,,,6968
123,2336,2346,2286,,,,6968
124,2336,2346,2286,,,,6968
125,2336,2346,2286,,,,6968
126,2336,2346,2286,,,,6968
127,2336,2346,2286,,,,6968
128,2336,2346,2286,,,,6968
129,2336,2346,2286,,,,6968
130,2336,2346,2286,,,,6968
131,2336,2346,2286,,,,6968
132,2336,2346,2286,,,,6968
133,2336,2346,2286,,,,6968
134,2336,2346,2286,,,,6968
135,2336,2346,2286,,,,6968
136,2336,2346,2286,,,,6968
137,2336,2346,2285,,,,6967
138,2336,2346,2271,,,,6953
139,2336,2346,2271,,,,6953
140,2336,2346,2271,,,,6953
141,2336,2346,2271,,,,6953
142,2336,2346,2271,,,,6953
143,2336,2346,2271,,,,6953
144,2336,2346,2271,,,,6953
145,2336,2346,2271,,,,6953
146,2336,2346,2271,,,,6953
147,2336,2346,2271,,,,6953
148,2336,2346,2271,,,,6953
149,2336,2346,2271,,,,6953
150,2336,2346,2271,,,,6953
151,2336,2346,2271,,,,6953
152,2336,2346,2271,,,,6953
153,2336,2346,2271,,,,6953
154,2336,2346,2271,,,,6953
155,2336,2346,2271,,,,6953
156,2336,2346,2271,,,,6953
157,2336,2346,2271,,,,6953
158,2336,2346,2271,,,,6953
159,2336,2346,2271,,,,6953
160,2336,2346,2271,,,,6953
161,2336,2346,2271,,,,6953
162,2336,2346,2271,,,,6953
163,2336,2346,2271,,,,6953
164,2336,2346,2271,,,,6953
165,2336,2346,2271,,,,6953
166,2336,2346,2271,,,,6953
167,2336,2346,2271,,,,6953
168,2336,2346,2271,,,,6953
169,2336,2346,2271,,,,6953
170,2336,2346,2271,,,,6953
171,2336,2346,2271,,,,6953
172,2336,2346,2271,,,,6953
173,2336,2346,2271,,,,6953
174,2336,2346,2267,,,,6949
175,2336,2346,2258,,,,6940
176,2336,2346,2258,,,,6940
177,2336,2346,2258,,,,6940
178,2336,2346,2258,,,,6940
179,2336,2346,2258,,,,6940
180,2336,2346,2258,,,,6940
181,2336,2346,2258,,,,6940
182,2336,2346,2258,,,,6940
183,2336,2346,2258,,,,6940
184,2336,2346,2258,,,,6940
185,2336,2346,2258,,,,6940
186,2336,2346,2258,,,,6940
187,2336,2346,2258,,,,6940
188,2336,2346,2258,,,,6940
189,2336,2343,2258,,,,6937
190,2336,2343,2258,,,,6937
191,2336,2343,2258,,,,6937
192,2336,2343,2258,,,,6937
193,2336,2343,2258,,,,6937
194,2336,2343,2258,,,,6937
195,2336,2343,2258,,,,6937
196,2336,2343,2258,,,,6937
197,2336,2343,2258,,,,6937
198,2336,2343,2258,,,,6937
199,2336,2343,2258,,,,6937
200,2336,2343,2258,,,,6937
