Episode,ta41,ta42,ta43,ta44,ta45,ta46,ta47,ta48,ta49,ta50,sum
1,2515,2531,2533,2643,2664,2529,2352,2501,2502,2341,25111
2,2515,2531,2500,2643,2599,2503,2352,2439,2457,2305,24844
3,2515,2531,2441,2503,2569,2446,2352,2439,2423,2305,24524
4,2515,2531,2441,2503,2465,2446,2296,2439,2393,2300,24329
5,2515,2508,2420,2503,2465,2446,2296,2439,2393,2286,24271
6,2515,2441,2420,2503,2434,2446,2296,2437,2336,2282,24110
7,2512,2441,2390,2503,2434,2426,2296,2437,2336,2282,24057
8,2512,2441,2373,2503,2434,2426,2296,2437,2336,2282,24040
9,2512,2441,2355,2503,2434,2426,2278,2437,2336,2282,24004
10,2512,2441,2355,2480,2434,2426,2278,2437,2336,2282,23981
11,2512,2441,2355,2480,2433,2426,2278,2426,2336,2226,23913
12,2464,2441,2355,2458,2433,2426,2278,2420,2336,2226,23837
13,2464,2441,2355,2458,2433,2426,2261,2420,2333,2226,23817
14,2464,2441,2355,2401,2411,2426,2261,2343,2333,2226,23661
15,2423,2441,2355,2401,2411,2426,2261,2343,2333,2226,23620
16,2423,2441,2355,2401,2411,2426,2261,2343,2333,2226,23620
17,2423,2441,2355,2401,2411,2409,2261,2343,2333,2226,23603
18,2423,2432,2322,2401,2392,2409,2251,2343,2330,2226,23529
19,2423,2432,2314,2401,2392,2409,2251,2343,2330,2226,23521
20,2423,2432,2314,2401,2392,2409,2251,2343,2302,2226,23493
21,2423,2432,2314,2401,2392,2409,2251,2343,2302,2226,23493
22,2423,2432,2314,2401,2392,2409,2216,2343,2302,2226,23458
23,2423,2432,2314,2401,2392,2409,2216,2343,2302,2226,23458
24,2423,2403,2314,2398,2392,2409,2216,2343,2302,2226,23426
25,2420,2403,2314,2398,2392,2409,2216,2343,2302,2226,23423
26,2419,2403,2314,2398,2392,2409,2216,2343,2302,2217,23413
27,2419,2403,2314,2398,2392,2409,2210,2343,2302,2217,23407
28,2419,2403,2314,2398,2392,2409,2210,2343,2302,2217,23407
29,2419,2403,2314,2398,2392,2409,2210,2343,2302,2217,23407
30,2419,2403,2301,2398,2392,2409,2210,2343,2302,2217,23394
31,2419,2403,2301,2398,2392,2409,2209,2343,2302,2190,23366
32,2419,2403,2301,2398,2392,2409,2195,2343,2300,2190,23350
33,2394,2403,2301,2398,2377,2409,2195,2343,2300,2190,23310
34,2385,2403,2301,2398,2377,2409,2195,2343,2298,2190,23299
35,2385,2403,2301,2398,2377,2409,2195,2343,2275,2190,23276
36,2385,2403,2301,2398,2377,2409,2195,2343,2275,2190,23276
37,2354,2403,2301,2398,2377,2409,2195,2340,2275,2190,23242
38,2354,2403,2301,2398,2366,2409,2183,2340,2275,2190,23219
39,2354,2403,2301,2398,2366,2409,2183,2340,2275,2190,23219
40,2354,2403,2301,2398,2366,2409,2183,2340,2275,2190,23219
41,2342,2403,2301,2397,2366,2409,2183,2340,2275,2190,23206
42,2342,2403,2301,2392,2326,2409,2183,2340,2275,2190,23161
43,2339,2403,2301,2392,2326,2409,2183,2340,2275,2190,23158
44,2339,2403,2301,2392,2326,2409,2183,2340,2275,2190,23158
45,2339,2390,2301,2392,2326,2409,2183,2340,2275,2190,23145
46,2339,2390,2301,2392,2326,2409,2183,2338,2275,2190,23143
47,2339,2390,2301,2392,2326,2409,2183,2338,2275,2190,23143
48,2336,2390,2301,2392,2326,2409,2183,2338,2275,2190,23140
49,2336,2390,2301,2392,2326,2409,2183,2338,2275,2190,23140
50,2336,2375,2301,2392,2326,2409,2183,2338,2265,2190,23115
51,2336,2375,2300,2392,2326,2409,2183,2338,2265,2190,23114
52,2336,2375,2300,2392,2326,2409,2183,2338,2265,2190,23114
53,2336,2368,2300,2374,2326,2409,2183,2338,2265,2190,23089
54,2336,2368,2300,2374,2326,2409,2180,2338,2265,2190,23086
55,2336,2346,2300,2374,2326,2409,2180,2338,2265,2190,23064
56,2336,2346,2300,2374,2326,2409,2180,2338,2265,2190,23064
57,2336,2346,2300,2374,2326,2409,2180,2338,2265,2190,23064
58,2336,2346,2300,2374,2326,2406,2180,2338,2259,2190,23055
59,2336,2346,2300,2374,2326,2406,2180,2338,2259,2190,23055
60,2336,2346,2300,2374,2326,2406,2180,2338,2259,2190,23055
61,2336,2346,2300,2374,2326,2406,2180,2338,2259,2190,23055
62,2336,2346,2292,2374,2326,2406,2180,2338,2259,2190,23047
63,2336,2346,2292,2374,2326,2406,2180,2338,2259,2190,23047
64,2336,2346,2292,2374,2326,2406,2180,2338,2259,2190,23047
65,2336,2346,2292,2374,2283,2406,2180,2338,2259,2190,23004
66,2336,2346,2292,2374,2283,2406,2180,2338,2259,2190,23004
67,2336,2346,2286,2374,2283,2406,2180,2338,2259,2190,22998
68,2336,2346,2286,2374,2283,2406,2180,2338,2259,2190,22998
69,2336,2346,2286,2374,2283,2406,2180,2338,2259,2190,22998
70,2336,2346,2286,2374,2278,2406,2180,2332,2259,2172,22969
71,2336,2346,2286,2374,2278,2406,2180,2332,2259,2172,22969
72,2336,2346,2286,2374,2278,2406,2180,2332,2259,2172,22969
73,2336,2346,2286,2374,2278,2406,2180,2332,2259,2172,22969
74,2336,2346,2286,2374,2278,2406,2180,2332,2259,2172,22969
75,2336,2346,2286,2374,2278,2406,2180,2332,2259,2172,22969
76,2336,2346,2286,2374,2249,2406,2180,2310,2259,2172,22918
77,2336,2346,2286,2374,2249,2406,2180,2310,2259,2172,22918
78,2336,2346,2286,2374,2249,2406,2180,2310,2259,2172,22918
79,2336,2346,2286,2374,2249,2406,2180,2310,2259,2172,22918
80,2336,2346,2286,2374,2247,2406,2180,2310,2259,2172,22916
81,2336,2346,2286,2374,2247,2406,2180,2310,2259,2172,22916
82,2336,2346,2286,2374,2247,2406,2180,2310,2259,2172,22916
83,2336,2346,2286,2374,2247,2406,2180,2310,2259,2172,22916
84,2336,2346,2286,2374,2247,2406,2180,2310,2259,2172,22916
85,2336,2346,2286,2374,2247,2406,2180,2310,2259,2172,22916
86,2336,2346,2286,2374,2247,2406,2180,2310,2259,2172,22916
87,2336,2346,2286,2374,2247,2406,2180,2310,2259,2172,22916
88,2336,2346,2286,2374,2247,2406,2180,2310,2259,2172,22916
89,2336,2346,2286,2374,2247,2406,2180,2310,2259,2172,22916
90,2336,2346,2286,2374,2247,2406,2180,2310,2259,2172,22916
91,2336,2346,2286,2374,2247,2406,2180,2310,2259,2172,22916
92,2336,2346,2286,2374,2247,2406,2180,2310,2259,2172,22916
93,2336,2346,2286,2374,2247,2406,2180,2310,2259,2172,22916
94,2336,2346,2286,2374,2247,2406,2180,2310,2259,2172,22916
95,2336,2346,2286,2374,2247,2406,2180,2310,2259,2172,22916
96,2336,2346,2286,2374,2247,2406,2180,2310,2259,2172,22916
97,2336,2346,2286,2374,2244,2406,2180,2310,2259,2172,22913
98,2336,2346,2286,2374,2244,2406,2180,2310,2259,2172,22913
99,2336,2346,2286,2374,2244,2406,2180,2310,2259,2172,22913
100,2336,2346,2286,2374,2244,2406,2180,2310,2259,2172,22913
101,2336,2346,2286,2374,2244,2406,2180,2310,2259,2172,22913
102,2336,2346,2286,2374,2244,2406,2180,2310,2259,2172,22913
103,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
104,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
105,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
106,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
107,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
108,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
109,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
110,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
111,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
112,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
113,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
114,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
115,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
116,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
117,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
118,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
119,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
120,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
121,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
122,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
123,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
124,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
125,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
126,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
127,2336,2346,2286,2374,2237,2394,2180,2310,2259,2172,22894
128,2336,2346,2286,2374,2237,2394,2180,2310,2259,2172,22894
